location_id|location_name|weather|locked|x_coord|y_coord|danger_level|lighting|temperature|crowd_density|noise_level|accessibility|time_of_day_modifier|events_available|shop_type|rest_bonus|discovery_bonus|loot_table_id|faction_territory|ambient_description
030103|Temple District - High Priest's Sanctum|Light_Fog|0|20|61|0|Bright|Warm|Empty|Silent|Very_Hard|None|blessing|None|10|40|LOOT_SANCT_01|Church_of_Light|Stained glass filters what little light penetrates the fog into rainbow streams. Golden relics gleam on marble altars untouched by the grey outside.
040101|Harbor District - Dock Street|Heavy_Fog|1|45|85|3|Dim|Cold|Moderate|Foghorn|Easy|All|None|None|0|0|LOOT_DOCK_01|Smugglers|The fog rolls thickest here where land meets the southern sea. Foghorns bellow warnings. Shapes of moored ships loom like wooden ghosts.
040102|Harbor District - Fishmonger's Stall|Heavy_Fog|1|45|86|1|Overcast|Cold|High|Loud|Easy|Morning|trade|market|0|0|LOOT_FISH_01|Merchants_Guild|The stench of fish guts and salt battles the fog's musty odor. Gulls screech overhead, invisible in the grey. Fresh catch glistens on ice.
040103|Harbor District - Abandoned Warehouse|Heavy_Fog|0|46|87|5|Dark|Damp|Empty|Creaking|Hard|Night|discovery|None|0|35|LOOT_WARE_01|Smugglers|Rotting timber and rusted chains. The fog pours through broken windows like water. Something moves in the darkness beyond your torch's reach.
050101|Healer's Quarter - Apothecary Shop|Foggy|1|65|70|0|Lanternlit|Comfortable|Moderate|Quiet|Easy|Day|trade|apothecary|0|0|LOOT_APOTH_01|Church_of_Light|Dried herbs hang from rafters. Glass jars line shelves, filled with colored liquids and preserved specimens. The air smells of lavender and something bitter.
050102|Healer's Quarter - Surgery Room|Foggy|0|66|71|1|Bright|Cool|Low|Moaning|Medium|Day|healing|medical|5|0|LOOT_SURG_01|Church_of_Light|Bloodstains that won't wash clean mark the stone table. Surgical tools gleam in a neat row. Bandages stained rust-red pile in the corner.
050103|Healer's Quarter - Plague Ward|Heavy_Fog|1|64|72|5|Dim|Cold|High|Coughing|Easy|All|emergency|medical|0|0|LOOT_PLAGUE_01|Neutral|Incense burns futilely against the smell of sickness. Patients lie on cots, fevered and delirious. Healers move between beds wearing cloth masks soaked in vinegar.
060101|Noble Estate - Manor Gardens|Light_Fog|1|5|95|0|Natural|Pleasant|Empty|Birds|Medium|Day|scenic|None|5|15|LOOT_GARD_01|Crown_Loyalists|Manicured hedges form a maze in the mist. Rare flowers bloom here, cultivated by gardeners who've learned to work through fog. A fountain trickles softly.
060102|Noble Estate - Private Library|Light_Fog|0|6|96|0|Firelit|Warm|Empty|Pages|Very_Hard|None|study|None|8|45|LOOT_LIB_01|Crown_Loyalists|Floor-to-ceiling shelves hold leather-bound volumes. A fire crackles in the marble hearth. The fog cannot reach these precious pages and forbidden knowledge.
060103|Noble Estate - Secret Vault|Light_Fog|0|5|97|2|Torch|Cold|Empty|Silent|Very_Hard|None|treasure|None|3|50|LOOT_VAULT_01|Crown_Loyalists|Behind a false wall lies the family's true wealth. Gold glints in torchlight. But the dust here is undisturbed—no one has entered in years.
070101|Scholar's District - University Grounds|Foggy|1|85|30|1|Overcast|Cool|High|Chatter|Easy|Day|social|None|0|0|LOOT_UNI_01|Academy_Scholars|Students in grey robes drift through the fog like spirits themselves, debating philosophy and the nature of the endless mist that imprisons their world.
070102|Scholar's District - Lecture Hall|Foggy|1|86|31|0|Lanternlit|Cool|High|Lecture|Easy|Day|learning|None|0|5|LOOT_LECT_01|Academy_Scholars|Tiered wooden benches face a slate board covered in chalk diagrams. A professor lectures on fog patterns and theories of what lies beyond the forests.
070103|Scholar's District - Forbidden Archive|Foggy|0|87|29|1|Candlelit|Musty|Empty|Breathing|Very_Hard|None|discovery|None|5|60|LOOT_ARCH_01|Academy_Scholars|Tomes bound in strange leather rest on iron chains. These books speak of the time before the fog, of a world that scholars insist never truly existed.
080101|Craftsman Quarter - Workshop Row|Foggy|1|35|75|2|Forge|Hot|High|Hammering|Easy|Day|trade|market|0|0|LOOT_CRAFT_01|Craftsmen_Guild|Smoke from a dozen forges adds to the fog. The ring of hammer on anvil echoes between buildings. Sparks fly like fireflies in the gloom.
080102|Craftsman Quarter - Blacksmith Forge|Foggy|1|36|76|1|Bright|Very_Hot|Moderate|Loud|Easy|Day|trade|blacksmith|2|0|LOOT_FORGE_01|Craftsmen_Guild|The forge burns hot enough to push back the fog. Weapons and tools hang on every wall. The smith's hammer never stops its rhythmic song.
080103|Craftsman Quarter - Master's Private Forge|Foggy|0|35|77|0|Forge|Very_Hot|Empty|Hammering|Very_Hard|None|crafting|None|5|30|LOOT_MASTER_01|Craftsmen_Guild|This is where legendary blades are born. The master works alone here, forging weapons said to cut through fog itself. Few are permitted to watch.
090101|Forest Edge - Northern Watchtower|Heavy_Fog|1|50|10|4|Torchlit|Cold|Low|Wind|Medium|All|None|None|3|10|LOOT_WATCH_01|Crown_Loyalists|Guards peer into the fog-choked forest beyond. Strange sounds echo from between the trees—howls that might be wolves, or might be something worse.
090201|Forest Edge - Eastern Guard Post|Heavy_Fog|1|95|50|5|Bonfire|Cold|Moderate|Nervous|Easy|All|None|None|2|5|LOOT_GUARD_01|Crown_Loyalists|Soldiers huddle around a bonfire, weapons close at hand. No one crosses the forest alone. No one who enters the deep fog ever returns unchanged.
090301|Forest Edge - Southern Shore Watch|Heavy_Fog|1|50|95|4|Lighthouse|Cold|Low|Waves|Medium|All|scenic|None|3|15|LOOT_SHORE_01|Crown_Loyalists|Where forest meets sea, the fog is absolute. The lighthouse beam cuts through it in vain. Somewhere beyond lies the rest of the world—if it still exists.
